element,method,R0_star,B_star,spread_var_star,spread_std_star,n_lines
B,OLS,1.3437434190696174,0.4743584790676284,0.0003708893317929552,0.019258487266474365,3
C,OLS,1.3407998555564422,0.1575003351010878,0.00020878316146161077,0.014449330830928149,3
N,OLS,1.5251607082705554,0.5538057685020215,0.0017625403735163964,0.041982619898195926,3
Al,OLS,1.6848283295504842,0.32117313991195284,0.0011079269974298995,0.03328553736129101,6
Si,OLS,1.6538788915185787,0.3275449677646551,0.002930877603309872,0.054137580323744355,5
P,OLS,1.5926504006198565,0.1847117301235981,0.0007730110604680699,0.027803076456897172,4
S,OLS,1.6203378559728838,0.3274589332588558,4.930380657631324e-32,2.220446049250313e-16,2
Ga,OLS,1.7656627757747108,0.3581170736097084,0.00010713820345530756,0.010350758593229172,3
Ge,OLS,1.8071631575731895,0.34415466703485237,0.005632641706651148,0.07505092742032671,3
As,OLS,1.8111073614236457,0.4846273596822667,0.015967365465267114,0.12636204123575684,4
Se,OLS,1.8712662878718607,0.4757067491643756,0.0,0.0,2
In,OLS,2.0648745897513443,0.22691480769855013,0.00233281603565151,0.04829923431744555,5
Sn,OLS,1.8039616085451682,0.7014086009790826,0.00341553213058148,0.05844255410727255,4
Sb,OLS,2.0409354015732504,0.29428638015338,0.01434405081416367,0.11976665151102651,6
Te,OLS,2.0124472897881467,0.48233994116924117,0.04196728285904246,0.20485917811765833,5
Tl,OLS,2.1092353738839997,0.4714110672607298,0.004599226355213892,0.06781759620639685,11
Pb,OLS,2.1275192217983907,0.436171887606676,0.001143353729264785,0.03381351400349844,11
Bi,OLS,2.1441339726260873,0.39270575990991785,0.0016021057343323774,0.040026313024464015,8
B,Huber,1.3265170543386875,0.5446133034167536,0.00018780362198899945,0.013704146160523808,3
C,Huber,1.3455993415802985,0.1713500267227384,0.00020492254253211476,0.014315115875609068,3
N,Huber,1.5309022770139238,0.5796018755530237,0.0031287394240681653,0.05593513586349966,3
Al,Huber,1.66735713539871,0.3609326156626274,0.0007132610784289768,0.02670694813019595,6
Si,Huber,1.6521021479145588,0.286702879315983,0.0020469555695737046,0.04524329308940392,5
P,Huber,1.620685495948447,0.2987667791388784,0.00027944670678732667,0.016716659558276788,4
S,Huber,1.5835891134745321,0.23818862931479678,0.0,0.0,2
Ga,Huber,1.762863004937186,0.3587050241839119,8.110727470686166e-05,0.009005957734014837,3
Ge,Huber,1.8010120376522287,0.3430211457395736,0.0036385925633155756,0.060320747370333334,3
As,Huber,1.84500111609209,0.500737808896714,0.0033301517798575934,0.05770746727987283,4
Se,Huber,1.876158589658437,0.4857743675368118,0.0,0.0,2
In,Huber,2.0310654682312634,0.26323405918750725,0.0015934439784741476,0.03991796561041341,5
Sn,Huber,1.8043278782436423,0.7250695642143762,0.0031243005042071066,0.05589544260677347,4
Sb,Huber,1.9411170057676967,0.5304271242279963,0.016739219826648232,0.12938013690921893,6
Te,Huber,2.0186064875630243,0.444013997607979,0.04125775437996922,0.2031200491826674,5
Tl,Huber,2.068840264515878,0.4776269995968518,0.003292030786758005,0.05737622144022735,11
Pb,Huber,2.1195814996183078,0.43687432975859597,0.0006037442824069608,0.024571208403474192,11
Bi,Huber,2.1377007308197506,0.4008297005586401,0.0005241685981943151,0.022894728611501713,8
B,RANSAC,1.324598090195589,0.5497105620842497,0.0007762466620400775,0.027861203528205265,3
C,RANSAC,1.339815901612498,0.15387812589170152,0.0001768750327634351,0.013299437310030643,3
N,RANSAC,1.525160708270554,0.553805768502017,0.0017625403735163964,0.041982619898195926,3
Al,RANSAC,1.6719543219977304,0.3492131890020166,0.000758212633517968,0.02753566112367684,6
Si,RANSAC,1.6518215023918499,0.28599098914488097,0.0030138696738765645,0.05489872196942807,5
P,RANSAC,1.556837971148111,0.06804468062752198,0.0009298122105062124,0.03049282227846764,4
S,RANSAC,1.5769752554521992,0.22093718204531143,0.0,0.0,2
Ga,RANSAC,1.762542270299692,0.3628192537242784,0.00013118702597063108,0.0114536904956713,3
Ge,RANSAC,1.7945349732080174,0.34121748412525554,0.002237896253347962,0.047306408163672306,3
As,RANSAC,1.8299883034508673,0.47650572518583667,0.0037266690980138737,0.061046450330988725,4
Se,RANSAC,1.8726975096028553,0.4792548591673125,0.0,0.0,2
In,RANSAC,1.8694556692087545,0.4901539698786794,0.0009931033750992064,0.03151354272529838,5
Sn,RANSAC,1.818813796817209,0.7168478266069065,0.00426386775996428,0.06529829829302047,4
Sb,RANSAC,1.901077912345306,0.6408036085874785,0.017216312876861734,0.13121094800687072,6
Te,RANSAC,2.0017659850423035,0.3875002798090692,0.0440526634825982,0.20988726374555985,5
Tl,RANSAC,2.0517090718322044,0.4842882477140264,0.00262839529787177,0.05126787783663149,11
Pb,RANSAC,2.1477271054375,0.41714487620533197,0.0006347172951353604,0.025193596312066295,11
Bi,RANSAC,2.141894306178013,0.39072230912763983,0.0013557634838122605,0.03682069368999259,8
