CN,formal_charge,count,fraction_within_cn,weighted_charge_contribution
0.0,2,1,1.0,2.0
1.0,2,3,1.0,2.0
2.0,2,23,1.0,2.0
3.0,2,89,0.967391304347826,1.934782608695652
3.0,3,3,0.03260869565217391,0.09782608695652173
4.0,2,98,0.9158878504672897,1.8317757009345794
4.0,3,1,0.009345794392523364,0.02803738317757009
4.0,4,8,0.07476635514018691,0.29906542056074764
5.0,2,116,0.9206349206349206,1.8412698412698412
5.0,4,10,0.07936507936507936,0.31746031746031744
6.0,2,163,0.8810810810810811,1.7621621621621621
6.0,3,2,0.010810810810810811,0.032432432432432434
6.0,4,20,0.10810810810810811,0.43243243243243246
7.0,2,128,0.9922480620155039,1.9844961240310077
7.0,3,1,0.007751937984496124,0.023255813953488372
8.0,2,142,0.993006993006993,1.986013986013986
8.0,3,1,0.006993006993006993,0.02097902097902098
9.0,2,86,1.0,2.0
10.0,2,40,1.0,2.0
11.0,2,9,1.0,2.0
12.0,2,28,1.0,2.0
