element,CN,Z,beta,beta0,ionic_radius,radius_cn_used,radius_match_type
Ba,1.0,2,-0.9064240910670625,2.5072325791522365,1.35,6,nearest
Ba,2.0,2,-0.9010926861637542,2.4864004313095323,1.35,6,nearest
Ba,3.0,2,-0.7733797636505176,2.189089575589954,1.35,6,nearest
Ba,4.0,2,-0.8170113803767188,2.3205445032691694,1.35,6,nearest
Ba,5.0,2,-0.7877989111088018,2.2399408450621485,1.35,6,nearest
Ba,6.0,2,-0.7256000856636949,2.0825442493765296,1.35,6,exact
Ba,7.0,2,-0.763872967093139,2.188587920592469,1.38,7,exact
Ba,8.0,2,-0.711086918734388,2.061623100534086,1.42,8,exact
Ba,9.0,2,-0.6688866990607667,1.952484386539454,1.47,9,exact
Ba,10.0,2,-0.6122946369455636,1.8100569716614208,1.52,10,exact
Ba,11.0,2,-0.6079910954970416,1.815985560763347,1.57,11,exact
Ba,12.0,2,-0.5587190964864086,1.6746936397703092,1.61,12,exact
Ba,13.0,2,-0.5843575652696971,1.7495564219254789,1.61,12,nearest
Be,3.0,2,-1.851441892374565,2.961343252717095,0.16,3,exact
Be,4.0,2,-1.4358473529114495,2.3600056659838775,0.27,4,exact
Ca,3.0,2,-0.8357643845318654,2.0592457755232663,1.0,6,nearest
Ca,4.0,2,-0.8951264613725521,2.196692036607713,1.0,6,nearest
Ca,5.0,2,-0.9149520697058668,2.223227817724169,1.0,6,nearest
Ca,6.0,2,-0.8727080597154062,2.085798699846728,1.0,6,exact
Ca,7.0,2,-0.8107965085263504,2.0099266726367593,1.06,7,exact
Ca,8.0,2,-0.7583980132878936,1.9020999109512904,1.12,8,exact
Ca,9.0,2,-0.6696651326310844,1.7272858343556123,1.18,9,exact
Ca,10.0,2,-0.6686341303569617,1.732671783716149,1.23,10,exact
Ca,12.0,2,-0.5799652331890722,1.5711806133033182,1.34,12,exact
Cs,2.0,1,-0.9261127025197816,2.850880503877059,1.67,6,nearest
Cs,3.0,1,-0.6331412575512796,2.029767815476427,1.67,6,nearest
Cs,4.0,1,-0.6527497797370228,2.0629705622861176,1.67,6,nearest
Cs,5.0,1,-0.610915889468754,1.9512774415566991,1.67,6,nearest
Cs,6.0,1,-0.5409314054243239,1.7594624869315143,1.67,6,exact
Cs,7.0,1,-0.5035104037213379,1.654053543411116,1.67,6,nearest
Cs,8.0,1,-0.4558153167365915,1.515526836443681,1.74,8,exact
Cs,9.0,1,-0.4437852689017762,1.4820952331548545,1.78,9,exact
Cs,10.0,1,-0.4432914852665517,1.4874656822826011,1.81,10,exact
Cs,11.0,1,-0.4375385817233887,1.4772418096587203,1.85,11,exact
Cs,12.0,1,-0.3774096448341487,1.2841858638625605,1.88,12,exact
K,1.0,1,-0.6731723471258115,1.9868012242493416,1.37,4,nearest
K,2.0,1,-0.7608316371068391,2.1178691400143688,1.37,4,nearest
K,3.0,1,-0.7183360986552043,2.030684671744919,1.37,4,nearest
K,4.0,1,-0.6010674863396308,1.7116360359468852,1.37,4,exact
K,5.0,1,-0.5893222147213534,1.680142483857683,1.37,4,nearest
K,6.0,1,-0.5288283262093528,1.529616528085496,1.38,6,exact
K,7.0,1,-0.5054403163202198,1.4740698137371322,1.46,7,exact
K,8.0,1,-0.4693779600427403,1.389059543350739,1.51,8,exact
K,9.0,1,-0.4455917173256933,1.3395345090073634,1.55,9,exact
K,10.0,1,-0.4288782429840233,1.3017079512979013,1.59,10,exact
K,11.0,1,-0.3875876721253825,1.2082347537664628,1.59,10,nearest
K,12.0,1,-0.390183099675326,1.19917061202214,1.64,12,exact
K,13.0,1,-0.3968609097761283,1.225256698899543,1.64,12,nearest
Li,1.0,1,-0.8527060099569623,1.8503531776865416,0.59,4,nearest
Li,2.0,1,-0.831233335559124,1.715873089026823,0.59,4,nearest
Li,3.0,1,-0.7316151118799618,1.5034428787452,0.59,4,nearest
Li,4.0,1,-0.7280969825378777,1.475324395940628,0.59,4,exact
Li,5.0,1,-0.6404559956941149,1.3626614879896164,0.59,4,nearest
Li,6.0,1,-0.5730557352203782,1.245394179000544,0.76,6,exact
Li,7.0,1,-0.5526381455856734,1.2857691004666263,0.76,6,nearest
Li,8.0,1,-0.5112446005967957,1.232386400484376,0.92,8,exact
Mg,4.0,2,-1.0931163484088042,2.229131981787704,0.57,4,exact
Mg,5.0,2,-1.0875644335815635,2.2509569894187456,0.66,5,exact
Mg,6.0,2,-0.9184051846888684,1.9306458810962153,0.72,6,exact
Na,2.0,1,-0.60274713202497,1.476701893310287,0.99,4,nearest
Na,3.0,1,-0.6035177009682519,1.5092401985756838,0.99,4,nearest
Na,4.0,1,-0.6276897440672231,1.5395913800139422,0.99,4,exact
Na,5.0,1,-0.5878271631086571,1.4592443274675628,1.0,5,exact
Na,6.0,1,-0.4935354173151819,1.272986290562242,1.02,6,exact
Na,7.0,1,-0.4809487282408693,1.241201210288783,1.12,7,exact
Na,8.0,1,-0.4744349382061073,1.237519153696487,1.18,8,exact
Na,9.0,1,-0.4622145556727921,1.2306378324706628,1.24,9,exact
Na,10.0,1,-0.4139712428044504,1.14351301412393,1.24,9,nearest
Na,12.0,1,-0.3928306986680568,1.105503597827829,1.39,12,exact
Rb,2.0,1,-0.7252853117134707,2.110806843527832,1.52,6,nearest
Rb,3.0,1,-0.6343683785745784,1.900298488443137,1.52,6,nearest
Rb,4.0,1,-0.6291417681010937,1.8914694756851775,1.52,6,nearest
Rb,5.0,1,-0.5990575592908278,1.8061527525949823,1.52,6,nearest
Rb,6.0,1,-0.5446220384606021,1.6706373290255423,1.52,6,exact
Rb,7.0,1,-0.5155701278674385,1.579502581631273,1.56,7,exact
Rb,8.0,1,-0.4502900733638203,1.4104586942179316,1.61,8,exact
Rb,9.0,1,-0.4511076572508261,1.412147949605857,1.63,9,exact
Rb,10.0,1,-0.4417429327150807,1.3969872797235736,1.66,10,exact
Rb,11.0,1,-0.4409485837483533,1.4121082611299844,1.69,11,exact
Rb,12.0,1,-0.3380053974269026,1.108073923055801,1.72,12,exact
Sr,1.0,2,-0.9563577732372052,2.4191388787577655,1.18,6,nearest
Sr,2.0,2,-0.6357673154117971,1.7011107015922102,1.18,6,nearest
Sr,4.0,2,-0.7232632949303949,1.996090184176765,1.18,6,nearest
Sr,5.0,2,-0.7783040831838889,2.0820286570027196,1.18,6,nearest
Sr,6.0,2,-0.8156555637046291,2.1481872824785335,1.18,6,exact
Sr,7.0,2,-0.8009175024841964,2.119402140302408,1.21,7,exact
Sr,8.0,2,-0.765585947481673,2.0623631302734537,1.26,8,exact
Sr,9.0,2,-0.6748472448458646,1.8330937943103431,1.31,9,exact
Sr,10.0,2,-0.6102582645102974,1.7045653062103154,1.36,10,exact
Sr,11.0,2,-0.5339765012093353,1.5048362794001882,1.36,10,nearest
Sr,12.0,2,-0.5533535163799964,1.572770856011471,1.44,12,exact
