level,name,c1_mean,c1_std,n
global,all,-2.317596240919807,0.37443547431944657,91
group,Group1,-2.3596158258669835,0.4134988555101785,53
group,Group2,-2.2589899777040103,0.30769622736157454,38
element,Ba,-2.5397037032667176,0.03260182418053954,13
element,Ca,-2.1364065504199163,0.04803780162860628,9
element,Cs,-2.8553552997231955,0.020374374927307277,11
element,K,-2.441550696174418,0.05154681865997468,13
element,Li,-1.6608798749855098,0.09717299444718232,8
element,Mg,-1.7540708314128783,0.01676426932644576,3
element,Na,-1.989761141630926,0.043170806527486366,10
element,Rb,-2.6114473643212905,0.03181569057366453,11
element,Sr,-2.3216269732232746,0.04886670534947732,11
